1	1	5	1
1	2	4	2
1	3	5	3
1	4	4	4
1	5	3	5
1	6	5	6
2	1	4	7
2	2	5	8
2	3	4	9
2	7	5	10
2	8	3	11
2	9	4	12
3	1	5	13
3	4	5	14
3	5	4	15
3	7	4	16
3	10	5	17
3	11	3	18
4	2	4	19
4	3	3	20
4	6	5	21
4	8	4	22
4	10	4	23
4	12	5	24
5	1	5	25
5	5	5	26
5	6	4	27
5	9	5	28
5	11	4	29
5	12	4	30
6	2	5	31
6	4	4	32
6	7	5	33
6	8	3	34
6	9	4	35
6	10	5	36
7	3	5	37
7	5	4	38
7	6	4	39
7	10	5	40
7	11	5	41
7	12	3	42
8	1	4	43
8	4	5	44
8	7	4	45
8	8	4	46
8	11	5	47
8	12	5	48
9	2	4	49
9	3	5	50
9	5	3	51
9	6	5	52
9	9	4	53
9	10	4	54
10	4	5	55
10	7	5	56
10	8	4	57
10	9	5	58
10	11	4	59
10	12	5	60
